time,bid_o,bid_h,bid_l,bid_c,ask_o,ask_h,ask_l,ask_c
2025-07-30T05:00:00Z,1.33499,1.33547,1.33460,1.33476,1.33519,1.33566,1.33479,1.33495
2025-07-30T06:00:00Z,1.33477,1.33645,1.33408,1.33636,1.33495,1.33664,1.33428,1.33655
2025-07-30T07:00:00Z,1.33636,1.33679,1.33579,1.33601,1.33656,1.33697,1.33598,1.33620
2025-07-30T08:00:00Z,1.33603,1.33681,1.33579,1.33667,1.33624,1.33699,1.33597,1.33685
2025-07-30T09:00:00Z,1.33667,1.33811,1.33646,1.33804,1.33684,1.33829,1.33662,1.33822
2025-07-30T10:00:00Z,1.33804,1.33850,1.33611,1.33625,1.33821,1.33868,1.33628,1.33642
2025-07-30T11:00:00Z,1.33623,1.33727,1.33566,1.33722,1.33639,1.33746,1.33584,1.33739
2025-07-30T12:00:00Z,1.33722,1.33789,1.33066,1.33084,1.33741,1.33807,1.33082,1.33099
2025-07-30T13:00:00Z,1.33083,1.33130,1.32737,1.32808,1.33102,1.33150,1.32754,1.32831
2025-07-30T14:00:00Z,1.32809,1.32945,1.32781,1.32900,1.32831,1.32963,1.32798,1.32916
2025-07-30T15:00:00Z,1.32897,1.32908,1.32704,1.32719,1.32913,1.32928,1.32723,1.32738
2025-07-30T16:00:00Z,1.32718,1.32811,1.32689,1.32809,1.32738,1.32829,1.32706,1.32826
2025-07-30T17:00:00Z,1.32810,1.32913,1.32792,1.32893,1.32826,1.32937,1.32809,1.32936
2025-07-30T18:00:00Z,1.32894,1.33121,1.32379,1.32380,1.32935,1.33142,1.32397,1.32399
2025-07-30T19:00:00Z,1.32380,1.32509,1.32273,1.32441,1.32398,1.32528,1.32289,1.32460
2025-07-30T20:00:00Z,1.32442,1.32536,1.32345,1.32371,1.32462,1.32555,1.32372,1.32413
2025-07-30T21:00:00Z,1.32322,1.32347,1.32243,1.32347,1.32522,1.32522,1.32366,1.32377
2025-07-30T22:00:00Z,1.32346,1.32538,1.32341,1.32526,1.32378,1.32558,1.32375,1.32547
2025-07-30T23:00:00Z,1.32527,1.32581,1.32480,1.32549,1.32546,1.32603,1.32497,1.32570
2025-07-31T00:00:00Z,1.32548,1.32569,1.32428,1.32506,1.32570,1.32586,1.32448,1.32524
2025-07-31T01:00:00Z,1.32507,1.32581,1.32409,1.32569,1.32524,1.32601,1.32429,1.32590
2025-07-31T02:00:00Z,1.32567,1.32613,1.32516,1.32594,1.32589,1.32633,1.32532,1.32613
2025-07-31T03:00:00Z,1.32594,1.32623,1.32455,1.32586,1.32611,1.32644,1.32476,1.32603
2025-07-31T04:00:00Z,1.32586,1.32691,1.32550,1.32683,1.32602,1.32712,1.32569,1.32703
2025-07-31T05:00:00Z,1.32682,1.32713,1.32632,1.32634,1.32701,1.32734,1.32652,1.32654
2025-07-31T06:00:00Z,1.32634,1.32815,1.32620,1.32769,1.32653,1.32831,1.32638,1.32789
2025-07-31T07:00:00Z,1.32771,1.32779,1.32433,1.32585,1.32789,1.32797,1.32455,1.32602
2025-07-31T08:00:00Z,1.32583,1.32602,1.32385,1.32490,1.32602,1.32620,1.32402,1.32507
2025-07-31T09:00:00Z,1.32490,1.32494,1.32284,1.32284,1.32506,1.32511,1.32300,1.32304
2025-07-31T10:00:00Z,1.32284,1.32335,1.32089,1.32275,1.32305,1.32354,1.32108,1.32294
2025-07-31T11:00:00Z,1.32276,1.32412,1.32212,1.32385,1.32296,1.32430,1.32231,1.32401
2025-07-31T12:00:00Z,1.32383,1.32397,1.32078,1.32156,1.32400,1.32416,1.32096,1.32176
2025-07-31T13:00:00Z,1.32155,1.32177,1.31868,1.31879,1.32176,1.32197,1.31885,1.31897
2025-07-31T14:00:00Z,1.31880,1.32386,1.31848,1.32309,1.31897,1.32405,1.31866,1.32326
2025-07-31T15:00:00Z,1.32309,1.32365,1.32173,1.32190,1.32329,1.32382,1.32193,1.32207
2025-07-31T16:00:00Z,1.32189,1.32365,1.32169,1.32220,1.32207,1.32383,1.32186,1.32238
2025-07-31T17:00:00Z,1.32219,1.32223,1.32017,1.32027,1.32238,1.32240,1.32035,1.32044
2025-07-31T18:00:00Z,1.32026,1.32234,1.31984,1.32180,1.32045,1.32254,1.32001,1.32199
2025-07-31T19:00:00Z,1.32180,1.32263,1.32049,1.32051,1.32198,1.32282,1.32068,1.32068
2025-07-31T20:00:00Z,1.32054,1.32099,1.31988,1.32027,1.32070,1.32118,1.32006,1.32065
2025-07-31T21:00:00Z,1.31945,1.32096,1.31945,1.31998,1.32145,1.32189,1.32063,1.32099
2025-07-31T22:00:00Z,1.31998,1.32080,1.31998,1.32056,1.32078,1.32103,1.32025,1.32077
2025-07-31T23:00:00Z,1.32054,1.32107,1.31988,1.32068,1.32077,1.32129,1.32008,1.32089
2025-08-01T00:00:00Z,1.32069,1.32125,1.32002,1.32092,1.32088,1.32145,1.32022,1.32112
2025-08-01T01:00:00Z,1.32094,1.32121,1.31918,1.31949,1.32113,1.32142,1.31938,1.31969
2025-08-01T02:00:00Z,1.31948,1.31975,1.31891,1.31944,1.31969,1.31998,1.31911,1.31963
2025-08-01T03:00:00Z,1.31947,1.32041,1.31938,1.31999,1.31964,1.32059,1.31956,1.32020
2025-08-01T04:00:00Z,1.31999,1.32006,1.31931,1.31981,1.32021,1.32028,1.31951,1.31999
2025-08-01T05:00:00Z,1.31980,1.32061,1.31948,1.32019,1.31997,1.32081,1.31966,1.32035
2025-08-01T06:00:00Z,1.32017,1.32124,1.31976,1.32040,1.32032,1.32143,1.31993,1.32059
2025-08-01T07:00:00Z,1.32041,1.32067,1.31850,1.31938,1.32058,1.32083,1.31870,1.31956
2025-08-01T08:00:00Z,1.31937,1.31941,1.31589,1.31599,1.31956,1.31959,1.31610,1.31618
2025-08-01T09:00:00Z,1.31598,1.31658,1.31405,1.31472,1.31618,1.31676,1.31424,1.31490
2025-08-01T10:00:00Z,1.31472,1.31664,1.31454,1.31662,1.31491,1.31680,1.31473,1.31678
2025-08-01T11:00:00Z,1.31662,1.31731,1.31567,1.31574,1.31677,1.31747,1.31584,1.31593
2025-08-01T12:00:00Z,1.31576,1.33023,1.31386,1.32837,1.31596,1.33044,1.31469,1.32856
2025-08-01T13:00:00Z,1.32842,1.33098,1.32618,1.32669,1.32857,1.33116,1.32636,1.32724
2025-08-01T14:00:00Z,1.32671,1.32891,1.32562,1.32630,1.32724,1.32908,1.32581,1.32646
2025-08-01T15:00:00Z,1.32630,1.32715,1.32436,1.32571,1.32645,1.32736,1.32454,1.32590
2025-08-01T16:00:00Z,1.32572,1.32641,1.32415,1.32445,1.32590,1.32663,1.32433,1.32464
2025-08-01T17:00:00Z,1.32443,1.32450,1.32150,1.32278,1.32462,1.32468,1.32168,1.32299
2025-08-01T18:00:00Z,1.32280,1.32501,1.32212,1.32257,1.32300,1.32519,1.32231,1.32274
2025-08-01T19:00:00Z,1.32257,1.32762,1.32240,1.32606,1.32275,1.32783,1.32259,1.32624
2025-08-01T20:00:00Z,1.32606,1.32913,1.32602,1.32771,1.32626,1.32934,1.32620,1.32804
2025-08-03T21:00:00Z,1.32690,1.32791,1.32687,1.32729,1.32890,1.32965,1.32841,1.32929
2025-08-03T22:00:00Z,1.32717,1.32842,1.32717,1.32771,1.32917,1.32941,1.32748,1.32796
2025-08-03T23:00:00Z,1.32774,1.32915,1.32752,1.32903,1.32795,1.32934,1.32772,1.32923
2025-08-04T00:00:00Z,1.32901,1.32923,1.32575,1.32606,1.32923,1.32944,1.32595,1.32627
2025-08-04T01:00:00Z,1.32606,1.32771,1.32530,1.32758,1.32626,1.32790,1.32548,1.32776
2025-08-04T02:00:00Z,1.32758,1.32841,1.32720,1.32802,1.32775,1.32858,1.32739,1.32822
2025-08-04T03:00:00Z,1.32803,1.32890,1.32802,1.32820,1.32822,1.32909,1.32821,1.32843
2025-08-04T04:00:00Z,1.32820,1.32873,1.32769,1.32772,1.32842,1.32894,1.32789,1.32790
2025-08-04T05:00:00Z,1.32770,1.32822,1.32691,1.32749,1.32790,1.32843,1.32710,1.32770
2025-08-04T06:00:00Z,1.32753,1.32903,1.32683,1.32837,1.32771,1.32924,1.32702,1.32854
2025-08-04T07:00:00Z,1.32839,1.32844,1.32640,1.32758,1.32854,1.32865,1.32656,1.32779
2025-08-04T08:00:00Z,1.32761,1.32786,1.32649,1.32772,1.32781,1.32804,1.32666,1.32789
2025-08-04T09:00:00Z,1.32771,1.33055,1.32750,1.32917,1.32789,1.33072,1.32767,1.32933
2025-08-04T10:00:00Z,1.32916,1.32970,1.32700,1.32962,1.32933,1.32989,1.32717,1.32982
2025-08-04T11:00:00Z,1.32963,1.33133,1.32899,1.32941,1.32981,1.33151,1.32917,1.32959
2025-08-04T12:00:00Z,1.32943,1.33109,1.32817,1.32971,1.32960,1.33128,1.32835,1.32988
2025-08-04T13:00:00Z,1.32969,1.33123,1.32947,1.33010,1.32988,1.33140,1.32963,1.33035
2025-08-04T14:00:00Z,1.33010,1.33301,1.32869,1.32927,1.33036,1.33321,1.32886,1.32944
2025-08-04T15:00:00Z,1.32927,1.32987,1.32774,1.32867,1.32943,1.33003,1.32793,1.32886
2025-08-04T16:00:00Z,1.32868,1.32918,1.32768,1.32845,1.32886,1.32936,1.32785,1.32864
2025-08-04T17:00:00Z,1.32845,1.32851,1.32756,1.32808,1.32865,1.32871,1.32774,1.32826
2025-08-04T18:00:00Z,1.32810,1.32850,1.32727,1.32750,1.32826,1.32870,1.32742,1.32767
2025-08-04T19:00:00Z,1.32748,1.32810,1.32715,1.32755,1.32766,1.32827,1.32734,1.32773
2025-08-04T20:00:00Z,1.32755,1.32874,1.32740,1.32839,1.32776,1.32898,1.32757,1.32873
2025-08-04T21:00:00Z,1.32823,1.32862,1.32750,1.32782,1.32941,1.33019,1.32864,1.32892
2025-08-04T22:00:00Z,1.32782,1.32931,1.32751,1.32919,1.32887,1.32952,1.32852,1.32939
2025-08-04T23:00:00Z,1.32922,1.32987,1.32910,1.32969,1.32940,1.33009,1.32930,1.32989
2025-08-05T00:00:00Z,1.32972,1.33022,1.32889,1.32980,1.32991,1.33041,1.32909,1.33002
2025-08-05T01:00:00Z,1.32980,1.32988,1.32866,1.32883,1.33000,1.33008,1.32887,1.32905
2025-08-05T02:00:00Z,1.32883,1.32887,1.32799,1.32834,1.32904,1.32906,1.32818,1.32853
2025-08-05T03:00:00Z,1.32835,1.32842,1.32757,1.32762,1.32852,1.32862,1.32776,1.32783
2025-08-05T04:00:00Z,1.32761,1.32868,1.32748,1.32851,1.32781,1.32887,1.32768,1.32868
2025-08-05T05:00:00Z,1.32847,1.32850,1.32704,1.32738,1.32867,1.32868,1.32723,1.32758
2025-08-05T06:00:00Z,1.32741,1.32919,1.32717,1.32782,1.32759,1.32939,1.32734,1.32800
2025-08-05T07:00:00Z,1.32783,1.32946,1.32586,1.32720,1.32803,1.32965,1.32607,1.32740
2025-08-05T08:00:00Z,1.32721,1.32879,1.32659,1.32790,1.32740,1.32900,1.32678,1.32811
2025-08-05T09:00:00Z,1.32790,1.32943,1.32760,1.32915,1.32812,1.32962,1.32779,1.32933
2025-08-05T10:00:00Z,1.32913,1.32941,1.32821,1.32850,1.32933,1.32961,1.32839,1.32871
2025-08-05T11:00:00Z,1.32850,1.32850,1.32655,1.32799,1.32870,1.32870,1.32672,1.32815
2025-08-05T12:00:00Z,1.32800,1.32887,1.32691,1.32811,1.32817,1.32906,1.32711,1.32828
2025-08-05T13:00:00Z,1.32811,1.32943,1.32680,1.32740,1.32829,1.32963,1.32697,1.32840
2025-08-05T14:00:00Z,1.32770,1.32920,1.32674,1.32890,1.32853,1.32941,1.32694,1.32908
2025-08-05T15:00:00Z,1.32890,1.33085,1.32881,1.33065,1.32909,1.33104,1.32898,1.33084
2025-08-05T16:00:00Z,1.33064,1.33154,1.33033,1.33088,1.33084,1.33172,1.33052,1.33105
2025-08-05T17:00:00Z,1.33088,1.33148,1.33004,1.33034,1.33107,1.33166,1.33023,1.33053
2025-08-05T18:00:00Z,1.33034,1.33051,1.32905,1.32941,1.33052,1.33069,1.32924,1.32960
2025-08-05T19:00:00Z,1.32943,1.32959,1.32881,1.32951,1.32960,1.32978,1.32899,1.32970
2025-08-05T20:00:00Z,1.32952,1.33008,1.32916,1.32978,1.32970,1.33029,1.32936,1.33020
